iter	Passed	Remaining
452	1086	1311
453	1088	1308
454	1096	1312
455	1101	1314
456	1104	1312
457	1113	1317
458	1115	1315
459	1117	1312
460	1119	1308
461	1124	1310
462	1129	1309
463	1131	1307
464	1133	1304
465	1137	1303
466	1191	1359
467	1195	1359
468	1197	1356
469	1199	1352
470	1205	1354
471	1210	1354
472	1212	1351
473	1214	1347
474	1218	1347
475	1225	1349
476	1227	1345
477	1229	1342
478	1232	1340
479	1237	1340
480	1241	1339
481	1243	1336
482	1252	1340
483	1254	1337
484	1256	1334
485	1258	1330
486	1265	1333
487	1269	1331
488	1271	1328
489	1272	1324
490	1274	1321
491	1279	1321
492	1281	1317
493	1284	1315
494	1292	1318
495	1298	1319
496	1300	1316
497	1310	1320
498	1312	1318
499	1314	1314
500	1320	1315
501	1326	1315
502	1328	1312
503	1330	1309
504	1342	1315
505	1344	1312
506	1346	1309
507	1353	1310
508	1358	1310
509	1360	1307
510	1362	1303
511	1370	1306
512	1376	1306
513	1382	1307
514	1387	1307
515	1389	1303
516	1391	1299
517	1392	1295
518	1402	1299
519	1404	1296
520	1405	1292
521	1407	1288
522	1409	1285
523	1416	1286
524	1419	1284
525	1421	1281
526	1431	1284
527	1436	1284
528	1438	1281
529	1447	1283
530	1451	1281
531	1454	1279
532	1462	1281
533	1465	1279
534	1467	1275
535	1469	1272
536	1477	1273
537	1479	1270
538	1481	1266
539	1483	1263
540	1484	1259
541	1489	1258
542	1491	1255
543	1493	1251
544	1495	1248
545	1496	1244
546	1498	1241
547	1500	1238
548	1505	1236
549	1507	1233
550	1508	1229
551	1510	1226
552	1512	1222
553	1513	1218
554	1518	1217
555	1522	1216
556	1524	1212
557	1525	1208
558	1526	1204
559	1528	1200
560	1533	1199
561	1534	1195
562	1535	1192
563	1537	1188
564	1539	1185
565	1540	1181
566	1542	1178
567	1544	1174
568	1549	1173
569	1551	1170
570	1552	1166
571	1553	1162
572	1555	1158
573	1557	1156
574	1564	1156
575	1566	1153
576	1569	1150
577	1570	1146
578	1572	1143
579	1577	1142
580	1581	1140
581	1583	1137
582	1584	1133
583	1586	1130
584	1587	1126
585	1593	1125
586	1595	1122
587	1596	1118
588	1598	1115
589	1599	1111
590	1600	1107
591	1602	1104
592	1603	1100
593	1610	1100
594	1611	1097
595	1613	1093
596	1614	1090
597	1616	1086
598	1618	1083
599	1624	1082
600	1625	1079
601	1627	1075
602	1629	1072
603	1630	1069
604	1632	1065
605	1633	1062
606	1636	1059
607	1640	1057
608	1641	1054
609	1643	1050
610	1644	1047
611	1645	1043
612	1647	1040
613	1648	1036
614	1651	1033
615	1656	1032
616	1658	1029
617	1660	1026
618	1661	1022
619	1662	1019
620	1664	1015
621	1668	1014
622	1669	1010
623	1671	1007
624	1672	1003
625	1674	1000
626	1675	996
627	1676	993
628	1678	989
629	1679	986
630	1684	984
631	1686	981
632	1687	978
633	1689	975
634	1691	972
635	1692	968
636	1694	965
637	1698	963
638	1700	960
639	1701	957
640	1703	954
641	1704	950
642	1706	947
643	1707	943
644	1708	940
645	1710	937
646	1714	935
647	1717	933
648	1719	929
649	1720	926
650	1722	923
651	1723	919
652	1727	918
653	1732	916
654	1733	913
655	1735	910
656	1737	906
657	1738	903
658	1744	902
659	1746	899
660	1749	897
661	1750	893
662	1751	890
663	1753	887
664	1756	884
665	1758	882
666	1760	878
667	1761	875
668	1762	872
669	1764	868
670	1765	865
671	1766	862
672	1767	858
673	1769	855
674	1773	853
675	1776	851
676	1777	848
677	1779	844
678	1780	841
679	1781	838
680	1783	835
681	1787	833
682	1791	831
683	1793	828
684	1794	825
685	1796	822
686	1797	818
687	1799	815
